County,Mitt Romney,Mike Kennedy
Beaver,846,493
Box Elder,"5,789","2,318"
Cache,"10,753","3,421"
Carbon,"1,229",730
Daggett,177,90
Davis,"34,561","10,407"
Duchesne,"2,053","1,531"
Emery,"1,088",710
Garfield,778,349
Grand,567,466
Iron,"4,928","3,331"
Juab,"1,381",784
Kane,"1,047",724
Millard,"1,829","1,237"
Morgan,"1,578",687
Piute,191,261
Rich,640,251
Salt Lake,"74,008","23,858"
San Juan,957,663
Sanpete,"2,833","1,406"
Sevier,"2,323","1,637"
Summit,"2,770","1,268"
Tooele,"4,332","2,090"
Uintah,"3,303","3,210"
Utah,"49,347","17,224"
Wasatch,"3,083","1,123"
Washington,"11,094","8,808"
Wayne,420,247
Weber,"16,116","7,447"